ra dec u g r i z
9.8007758224382 1.08352613370615 25.89868 21.32622 19.89096 18.71572 18.08944
9.73899104649786 1.21275695013871 20.64908 19.2554 18.72609 18.52743 18.38149
9.95596167220288 0.888326528040489 19.51029 18.32803 18.55213 18.72324 18.84049
9.97859496049983 0.633973133546893 20.49254 19.75988 19.03692 18.72538 18.29766
10.0178113422762 0.663568614452339 23.0659 21.9443 20.22846 19.17279 18.64733
10.1477509776522 0.765620871193193 23.50522 20.67564 19.15975 17.96652 17.35478
9.75847500439929 0.772617143045041 23.23702 21.34274 19.54401 18.69354 18.33143
9.78623148579285 0.806070109340406 20.00736 19.02778 18.42884 18.06935 17.80781
9.9213791537195 0.570426065428179 22.27077 21.99019 20.10468 18.80902 18.2058
10.0110057705451 0.561437602326564 21.6896 19.18255 17.80742 16.58349 15.93688
9.991860465705 1.05003603588668 21.85252 21.75178 21.67961 21.65742 21.2049
10.0464293479502 0.821096855345499 21.28196 19.16071 18.16205 17.72066 17.51562
9.95974339671318 0.59555346287046 19.47556 17.91755 16.97171 16.5241 16.17701
9.5365059225669 0.731601467133685 19.01598 16.96882 16.1776 15.87763 15.71674
9.79647560803997 0.709137488709732 18.94486 17.04675 16.26905 15.99711 15.83206
9.67946480144701 0.581059937565329 17.74691 16.45189 15.86557 15.52596 15.26944
9.84352318065629 0.99769988875686 19.76781 19.7275 19.65116 19.46731 19.0622
9.48516597211733 1.06970371044418 19.19686 17.4415 16.72897 16.46968 16.34503
9.63290114867016 0.560376748525775 19.8955 18.9427 18.74615 18.65457 18.64286
9.68598005502946 1.10830264210328 22.05737 19.56328 18.21567 16.8968 16.18664
10.1282336617418 0.757353383131636 21.00502 19.5338 18.94184 18.72926 18.61466
9.66433138768957 0.882482183330267 20.97012 18.47847 17.34333 16.90822 16.63679
9.62737739681666 0.957483594324446 22.89815 20.28259 18.85656 18.06368 17.59595
9.55775016331575 1.05512263019159 18.52222 17.51619 17.21402 16.9341 16.85262
9.92156204636626 0.677138156103694 25.04429 22.86457 21.66338 20.92059 20.69554
9.83694269271868 0.803169015239163 22.5305 20.84776 19.31437 18.13305 17.4552
9.89996260755788 0.856848654763895 21.48672 21.74062 21.07985 21.09097 21.58005
9.59702945435527 0.751194982395159 23.78377 22.97526 21.09328 19.99363 19.58603
9.80612471091564 0.858870594088708 19.55863 18.19353 24.80204 24.36181 22.82691
10.0755096742129 1.08047660153611 20.12296 19.14676 18.63875 18.41389 18.27117
9.77266646571246 0.563589646342334 17.54734 15.89622 15.36369 15.044 14.93722
9.84050786596271 0.895097823796724 18.61335 17.6902 17.40577 17.2937 17.26428
9.76617380853253 0.804954834381802 19.78877 18.42794 17.66223 17.24841 16.98554
10.0830901507085 0.903950153250581 21.51701 19.44421 18.54593 18.17854 17.89435
9.82501334335871 0.699809598946906 21.00657 18.90548 17.39966 16.85061 16.5412
9.95289117673804 0.941581117373194 20.83382 19.91058 19.63851 19.47409 19.45512
9.97235585188696 1.2028643126406 22.61432 21.86893 20.01037 19.31947 18.96684
9.67971869581982 1.14379730272112 22.55015 21.80981 20.3363 19.41231 18.9105
10.0986996689477 0.731368184388115 18.99632 17.65107 17.18022 16.99482 16.95726
9.7738589803736 0.835512051731383 18.65278 17.42339 17.5706 17.68057 17.71817
10.0144676975631 0.583862811030733 19.88596 18.9155 18.80182 18.78845 18.70553
9.53331140546982 1.0998130364232 21.11129 18.79378 17.76528 17.41375 17.21468
9.54945949447909 1.09214426765827 19.50336 18.33405 18.4755 18.58969 18.63128
9.65026405242421 0.704755168223871 20.16247 19.40319 18.70805 18.51018 18.18514
9.85524704145828 0.629673578600424 21.94685 19.40245 17.96056 16.75704 16.12062
9.76608254488099 1.0352063466417 19.98035 18.60461 17.76757 17.33211 17.0184
10.1303393474616 1.15237735347561 22.95679 21.16004 19.40783 18.79355 18.45802
9.74611247782855 0.591449240076062 23.05861 20.37215 18.90334 17.70885 17.04556
9.84452982403204 0.796954208522804 22.99962 21.31053 19.60582 18.92503 18.31874
10.0482296030646 0.91653085919855 20.30659 19.3222 18.87429 18.56085 18.41642
10.121473784975 0.843481837741949 20.63256 18.15724 17.02687 16.59263 16.38729
9.61342061291958 0.564333193475848 19.71253 18.88805 18.52822 18.22688 18.1998
9.74672175496517 0.914152312629776 20.21675 19.92744 19.7816 19.43939 19.10513
9.71462153123446 1.04537480517709 17.70234 16.31163 15.79556 15.60537 15.51354
9.63379865769377 1.04451580680314 20.86531 19.80509 18.69008 18.2011 17.97187
9.92563761910836 0.732585809030784 22.82677 20.91505 19.55927 18.72484 18.26741
9.55680873345042 0.736377813171054 23.63217 21.22992 19.74719 18.2071 17.37987
9.8380314597091 0.936434281026529 19.56649 18.1084 17.57212 17.38182 17.28327
10.1199706749977 0.745189092070464 23.60759 21.06661 19.90562 19.43878 19.07636
10.0201915523233 0.643657816776156 22.55428 20.28648 19.14176 18.627 18.30828
9.97504512540809 0.663335069740404 21.40486 18.70892 17.34776 16.70333 16.29129
9.69237561264436 0.574391477862816 23.83986 23.06989 21.55546 20.17766 19.42584
9.93099932806442 0.638142995159008 23.24056 22.10374 20.49428 19.47688 18.93851
9.77977042161314 1.06834740072699 19.75862 18.60175 18.1525 17.97154 17.89516
10.0315295666012 0.607030515542251 19.4663 17.08195 15.94885 15.51224 15.2728
9.68049011243363 0.760478067390435 22.82344 22.23154 20.466 19.50524 19.09525
9.66778966939245 0.801439090160085 24.14614 22.87284 20.90742 19.9132 19.44716
9.55142612070091 0.634600089505918 19.888 17.40265 15.95585 14.9875 14.4649
9.74388710046372 0.836223397935647 22.2088 19.82515 18.55971 17.98598 17.67168
10.0197603379568 0.894714191841826 25.00338 23.04167 21.86712 19.45915 18.12261
9.51193996276584 1.08573852581525 22.61818 21.87137 20.01834 19.11537 18.73109
9.99513368075833 0.741497915058279 18.27627 16.86883 16.38021 16.21519 16.13753
9.51477519449833 0.959043218711142 21.75166 21.07708 20.05148 19.41619 19.09768
9.81350978402827 0.952918008915346 23.72616 22.9029 21.20216 20.15097 19.98314
9.83132721824518 1.18045327623251 18.87262 17.62146 17.0763 16.76442 16.58104
9.88207916439876 1.10313034828571 21.07529 20.85412 20.78539 20.79502 20.65777
10.041707287305 0.842949591757159 19.4146 18.17041 17.69609 17.53417 17.38383
9.78676663574794 0.884631482626627 19.61487 18.68282 17.77123 17.39513 17.12636
9.49121307543717 0.740765419239418 21.95849 19.68428 18.26655 17.53923 17.08546
9.94656044986459 1.12940034175809 20.55513 19.89249 19.29891 19.01482 18.78857
9.63168924642702 1.11158332618688 20.66355 18.75321 17.85523 17.56178 17.32681
9.77226351325538 1.0877204992715 19.35546 18.20306 17.79856 17.64411 17.62549
10.1149277884214 1.12530691309093 23.219 20.25903 18.67163 18.08932 17.70349
9.65711148524557 0.765812058836728 18.8743 17.90819 17.60032 17.38355 17.23871
10.1205129595463 0.999435279944844 18.67402 16.0963 14.74029 16.99276 13.77977
9.54348863055395 0.858067202248564 27.11078 21.74309 20.08629 19.00815 18.51953
9.7813055485795 1.10094256654173 22.8451 22.46027 20.96847 20.10648 19.43858
9.86847698889684 0.803655589269521 20.4633 17.88879 16.59726 16.06529 15.73111
9.68881501274348 0.766316726994583 22.79917 20.11472 18.81228 18.15142 17.75237
9.66842257718133 1.14070370242408 19.50822 18.31706 17.86803 17.65915 17.60398
9.61748621941689 1.06321510567897 23.81971 22.45126 20.46527 19.54352 19.30997
10.1454819744166 0.760069230402542 20.91692 18.48687 17.25893 16.70655 16.37777
10.1257292151483 1.12332873359981 18.47622 17.57939 17.34435 17.29018 17.2971
9.96159375626115 0.980531672783607 18.18274 16.61367 16.03242 15.80037 15.69916
9.92451662470739 0.915788753375248 17.54671 16.30991 15.8871 15.72333 15.69046
10.1249691302835 0.693123077288959 20.1935 18.95515 18.28939 17.92229 17.62431
9.58614559644008 1.01165111775153 24.41467 22.37858 20.73119 19.80721 19.33421
9.7589861331885 1.18763090869549 19.55156 18.56237 18.25376 18.13773 18.08184
10.1359655290198 0.688073369117328 22.80375 21.87697 20.53627 19.52388 19.36379
9.87363389750334 1.06387361686535 18.79488 17.03844 16.20568 15.76622 15.43502
